iter	Passed	Remaining
0	142	142103
1	232	115804
2	304	101109
3	364	90810
4	427	85108
5	492	81636
6	574	81530
7	695	86185
8	805	88726
9	906	89735
10	977	87900
11	1057	87050
12	1151	87458
13	1263	88978
14	1343	88231
15	1404	86351
16	1467	84835
17	1528	83385
18	1590	82117
19	1654	81066
20	1720	80185
21	1781	79194
22	1844	78353
23	1906	77533
24	1986	77457
25	2064	77328
26	2146	77343
27	2226	77297
28	2301	77052
29	2373	76758
30	2451	76637
31	2523	76323
32	2587	75811
33	2649	75287
34	2716	74909
35	2796	74874
36	2888	75186
37	2953	74781
38	3019	74393
39	3087	74103
40	3155	73818
41	3228	73649
42	3290	73227
43	3361	73025
44	3428	72769
45	3510	72799
46	3597	72945
47	3683	73051
48	3762	73017
49	3834	72857
50	3906	72683
51	3984	72649
52	4082	72946
53	4173	73114
54	4261	73226
55	4343	73225
56	4427	73254
57	4517	73375
58	4605	73451
59	4677	73285
60	4742	72999
61	4809	72768
62	4886	72670
63	4960	72541
64	5034	72421
65	5109	72301
66	5181	72151
67	5259	72082
68	5349	72175
69	5434	72201
70	5540	72493
71	5638	72677
72	5725	72703
73	5807	72670
74	5896	72728
75	5974	72640
76	6072	72796
77	6175	73001
78	6274	73148
79	6364	73191
80	6453	73219
81	6545	73281
82	6637	73333
83	6709	73168
84	6776	72949
85	6840	72694
86	6905	72463
87	6976	72303
88	7044	72105
89	7122	72015
90	7204	71970
91	7298	72034
92	7386	72038
93	7469	71995
94	7554	71969
95	7638	71933
96	7734	72002
97	7826	72039
98	7935	72222
99	8035	72315
100	8133	72397
101	8233	72488
102	8335	72587
103	8426	72598
104	8517	72604
105	8594	72486
106	8687	72506
107	8774	72472
108	8865	72467
109	8939	72329
110	9007	72137
111	9087	72050
112	9169	71975
113	9240	71815
114	9311	71654
115	9391	71566
116	9462	71416
117	9523	71184
118	9590	71004
119	9664	70872
120	9727	70664
121	9791	70470
122	9876	70420
123	9955	70333
124	10029	70205
125	10105	70095
126	10177	69962
127	10246	69806
128	10313	69636
129	10384	69497
130	10464	69420
131	10539	69304
132	10604	69129
133	10677	69006
134	10736	68796
135	10795	68583
136	10854	68374
137	10915	68179
138	10977	67996
139	11065	67976
140	11126	67783
141	11194	67641
142	11263	67502
143	11334	67379
144	11394	67186
145	11453	66997
146	11539	66960
147	11626	66928
148	11713	66902
149	11822	66996
150	11920	67022
151	12008	66995
152	12070	66821
153	12134	66658
154	12197	66498
155	12267	66371
156	12335	66232
157	12395	66057
158	12472	65971
159	12560	65941
160	12640	65871
161	12727	65837
162	12795	65702
163	12857	65540
164	12919	65380
165	12985	65239
166	13047	65080
167	13106	64907
168	13165	64737
169	13224	64566
170	13278	64374
171	13334	64191
172	13388	64002
173	13445	63827
174	13499	63641
175	13554	63458
176	13623	63344
177	13691	63226
178	13769	63154
179	13828	62995
180	13889	62850
181	13959	62740
182	14034	62656
183	14121	62625
184	14189	62509
185	14259	62404
186	14325	62281
187	14387	62142
188	14447	61996
189	14508	61851
190	14568	61705
191	14625	61548
192	14680	61385
193	14749	61280
194	14807	61129
195	14867	60985
196	14922	60826
197	14978	60671
198	15035	60519
199	15102	60411
200	15162	60273
201	15217	60118
202	15272	59963
203	15331	59822
204	15388	59678
205	15447	59540
206	15504	59394
207	15567	59276
208	15622	59126
209	15678	58981
210	15736	58845
211	15794	58706
212	15851	58570
213	15909	58433
214	15977	58337
215	16041	58224
216	16104	58111
217	16166	57991
218	16222	57854
219	16278	57715
220	16333	57573
221	16386	57425
222	16441	57287
223	16500	57162
224	16555	57023
225	16609	56884
226	16665	56751
227	16718	56608
228	16777	56487
229	16837	56367
230	16897	56251
231	16968	56170
232	17066	56179
233	17150	56143
234	17225	56074
235	17322	56076
236	17389	55984
237	17451	55875
238	17509	55752
239	17570	55639
240	17636	55544
241	17695	55427
242	17759	55325
243	17816	55201
244	17867	55060
245	17914	54909
246	17976	54801
247	18027	54664
248	18083	54542
249	18171	54513
250	18261	54493
251	18342	54444
252	18422	54393
253	18489	54304
254	18544	54179
255	18597	54049
256	18652	53924
257	18704	53794
258	18758	53667
259	18813	53545
260	18870	53430
261	18954	53392
262	19037	53347
263	19137	53353
264	19224	53320
265	19303	53266
266	19368	53173
267	19435	53084
268	19545	53114
269	19643	53108
270	19736	53091
271	19848	53124
272	19958	53150
273	20094	53244
274	20212	53286
275	20297	53243
276	20368	53163
277	20433	53068
278	20502	52981
279	20618	53019
280	20755	53108
281	20927	53284
282	21066	53373
283	21146	53313
284	21235	53273
285	21338	53271
286	21424	53224
287	21499	53152
288	21570	53066
289	21678	53074
290	21762	53021
291	21847	52973
292	21931	52920
293	22015	52865
294	22097	52808
295	22182	52757
296	22272	52718
297	22346	52641
298	22440	52611
299	22532	52574
300	22614	52517
301	22709	52486
302	22806	52462
303	22885	52395
304	22957	52311
305	23039	52253
306	23132	52216
307	23216	52160
308	23290	52083
309	23365	52006
310	23447	51945
311	23532	51892
312	23607	51815
313	23680	51735
314	23754	51657
315	23819	51559
316	23886	51465
317	23959	51384
318	24017	51272
319	24091	51193
320	24152	51089
321	24233	51026
322	24338	51013
323	24421	50953
324	24526	50939
325	24596	50852
326	24666	50766
327	24735	50678
328	24797	50575
329	24860	50473
330	24924	50376
331	24995	50292
332	25059	50194
333	25123	50096
334	25185	49994
335	25248	49895
336	25333	49840
337	25407	49762
338	25480	49682
339	25553	49603
340	25629	49529
341	25695	49437
342	25777	49375
343	25867	49328
344	26005	49371
345	26090	49316
